Emisores,Valor Nominal,Último Precio,P/U  Veces,P/VL,Capitalización,D/P  Yield,Presencia Bursátil,Índice de Rotación,Líquidez,Fecha
La Colina Forestal (Hillforest),1.0,18.0,(35.77),0.89,3600000,0.00%,0.81%,0.034665,No líquida,2022-05-18
La Sabana Forestal (Plainforest),1.0,16.18,0.00,0.9,3883200,0.00%,1.21%,0.00125,No líquida,2022-05-18
Cerro Alto Forestal (Highforest),1.0,15.4,0.00,0.0,2025000,0.00%,0.81%,0.003422,No líquida,2022-05-18
La Cumbre Forestal (Peakforest),1.0,14.0,0.00,0.0,4725000,0.00%,2.02%,0.086667,No líquida,2022-05-18
La Vanguardia Forestal (Vanguarforest),1.0,2.3,0.00,0.0,4085000,0.00%,2.02%,0.059047,No líquida,2022-05-18
Rio Grande Forestal (Riverforest),1.0,2.62,0.00,0.0,6110000,0.00%,55.65%,0.422678,No líquida,2022-05-18
La Ensenada Forestal (Coveforest),1.0,2.6,0.00,0.0,6500000,0.00%,3.63%,0.05459,Líquida,2022-05-18
Compañía de Cervezas Nacionales S.A.,1.0,60.0,10.76,6.34,1229400000,9.31%,6.80%,0.000306,No líquida,2022-05-18
Continental Tire Andina S.A.,1.0,0.7,14.18,0.58,52426416,3.47%,0.00%,0.0,Líquida,2022-05-18
Cristalería del Ecuador S.A. Cridesa,1.0,3.5,7.27,1.45,73445484,13.65%,0.40%,0.00021,Líquida,2022-05-18
Industrias Ales C.A.,1.0,0.5,38.84,0.28,19800000,0.70%,0.40%,0.000586,No líquida,2022-05-18
Holcim Ecuador S.A.,3.0,50.0,9.98,2.62,1024044200,3.00%,7.60%,0.031535,Líquida,2022-05-18
Sociedad Agrícola e Industrial San Carlos S.A.,1.0,0.55,1.14,0.33,75900000,0.00%,20.00%,0.035109,Líquida,2022-05-18
Surpapelcorp S.A.,1.0,4.25,0.00,4.45,109127250,0.00%,4.00%,0.132904,No líquida,2022-05-18
Alicosta BK Holding S.A.,1.0,10.0,0.00,1.51,2350000,0.00%,20.40%,0.332443,Líquida,2022-05-18
Cepsa S.A,1.0,1.0,6.13,0.02,343324,16.32%,0.00%,0.0,No líquida,2022-05-18
Hotel Colón Internacional C.A.,1.0,0.6,26.55,0.4,14706000,6.67%,1.60%,0.000222,No líquida,2022-05-18
Corporación Favorita C.A.,1.0,2.2,12.12,1.45,1870000000,3.10%,47.20%,0.013197,Líquida,2022-05-18
Banco Amazonas S.A.,1.0,1.0,0.00,0.47,10470723,0.00%,0.00%,0.0,No líquida,2022-05-18
Banco Bolivariano S.A.,1.0,0.9,5.09,0.67,205200000,5.85%,7.20%,0.014639,No líquida,2022-05-18
Banco Cofiec S.A.,0.004,0.0028,0.06,0.0,17927,0.00%,0.00%,0.0,No líquida,2022-05-18
Banco de Guayaquil S.A.,1.0,1.02,6.25,0.77,377573400,8.63%,23.79%,0.003722,Líquida,2022-05-18
Banco del Pichincha C.A.,100.0,76.0,4.61,0.47,551496964,5.44%,15.20%,0.197774,Líquida,2022-05-18
Banco Solidario S.A.,1.0,0.26,5.24,0.59,78663670,9.55%,0.40%,0.001162,No líquida,2022-05-18
Corp. Desarrollo Mercado Secundario Hipotecas (CTH),1.0,2.8968,7.79,1.22,9439335,11.60%,0.40%,0.003228,No líquida,2022-05-18
Produbanco S.A,1.0,0.71,3.62,0.51,215733500,7.45%,2.00%,0.000357,No líquida,2022-05-18
Inversancarlos S.A.,1.0,1.28,7.29,1.05,70400000,14.20%,13.60%,0.07556,No líquida,2022-05-18
Meriza S.A.,1.0,40.0,(25.71),0.84,3200000,0.00%,0.40%,0.0125,Líquida,2022-05-25
Rio Congo Forestal C.A.,1.0,40.0,(34.85),0.83,3600000,0.22%,2.40%,0.058444,No líquida,2022-05-25
El Tecal C.A. ELTECA,1.0,35.0,(21.45),0.76,3150000,0.00%,1.20%,0.055,No líquida,2022-05-25
La Reserva Forestal (Reforest S.A.),1.0,32.73,(27.68),0.8,2945700,0.00%,1.20%,0.545,No líquida,2022-05-25
Cerro Verde Forestal (Bigforest S.A.),1.0,31.91,(76.86),0.81,3191000,0.58%,2.40%,0.083,No líquida,2022-05-25
La Campiña Forestal (Strongforest S.A.),1.0,31.5,(28.98),0.86,3150000,0.00%,3.60%,0.064,Líquida,2022-05-25
El Refugio Forestal (Homeforest S.A.),1.0,25.68,(28.19),0.78,3210000,0.00%,2.40%,0.0582,No líquida,2022-05-25
El Sendero Forestal (Pathforest),1.0,22.05,(31.97),0.86,2976750,0.00%,1.61%,0.053793,No líquida,2022-05-25
La Estancia Forestal (Forestead),1.0,21.5,(49.13),0.96,3225000,0.00%,0.40%,0.0447,No líquida,2022-05-25
La Colina Forestal (Hillforest),1.0,18.0,(35.77),0.89,3600000,0.00%,0.81%,0.034665,No líquida,2022-05-25
La Sabana Forestal (Plainforest),1.0,16.18,0.00,0.9,3883200,0.00%,1.21%,0.00125,No líquida,2022-05-25
Cerro Alto Forestal (Highforest),1.0,15.4,0.00,0.0,2025000,0.00%,0.81%,0.003422,No líquida,2022-05-25
La Cumbre Forestal (Peakforest),1.0,14.0,0.00,0.0,4725000,0.00%,2.02%,0.086667,No líquida,2022-05-25
La Vanguardia Forestal (Vanguarforest),1.0,2.3,0.00,0.0,4085000,0.00%,2.02%,0.059047,No líquida,2022-05-25
Rio Grande Forestal (Riverforest),1.0,2.62,0.00,0.0,6110000,0.00%,55.65%,0.422678,No líquida,2022-05-25
La Ensenada Forestal (Coveforest),1.0,2.6,0.00,0.0,6500000,0.00%,3.63%,0.05459,Líquida,2022-05-25
Compañía de Cervezas Nacionales S.A.,1.0,60.0,10.76,6.34,1229400000,9.31%,6.80%,0.000306,No líquida,2022-05-25
Continental Tire Andina S.A.,1.0,0.7,14.18,0.58,52426416,3.47%,0.00%,0.0,Líquida,2022-05-25
Cristalería del Ecuador S.A. Cridesa,1.0,3.5,7.27,1.45,73445484,13.65%,0.40%,0.00021,Líquida,2022-05-25
Industrias Ales C.A.,1.0,0.5,38.84,0.28,19800000,0.70%,0.40%,0.000586,No líquida,2022-05-25
Holcim Ecuador S.A.,3.0,50.0,9.98,2.62,1024044200,3.00%,7.60%,0.031535,Líquida,2022-05-25
Sociedad Agrícola e Industrial San Carlos S.A.,1.0,0.55,1.14,0.33,75900000,0.00%,20.00%,0.035109,Líquida,2022-05-25
Surpapelcorp S.A.,1.0,4.25,0.00,4.45,109127250,0.00%,4.00%,0.132904,No líquida,2022-05-25
Alicosta BK Holding S.A.,1.0,10.0,0.00,1.51,2350000,0.00%,20.40%,0.332443,Líquida,2022-05-25
Cepsa S.A,1.0,1.0,6.13,0.02,343324,16.32%,0.00%,0.0,No líquida,2022-05-25
Hotel Colón Internacional C.A.,1.0,0.6,26.55,0.4,14706000,6.67%,1.60%,0.000222,No líquida,2022-05-25
Corporación Favorita C.A.,1.0,2.19,12.07,1.44,1861500000,3.12%,47.20%,0.013197,Líquida,2022-05-25
Banco Amazonas S.A.,1.0,1.0,0.00,0.47,10470723,0.00%,0.00%,0.0,No líquida,2022-05-25
Banco Bolivariano S.A.,1.0,0.9,5.09,0.67,205200000,5.85%,7.20%,0.014639,No líquida,2022-05-25
Banco Cofiec S.A.,0.004,0.0028,0.06,0.0,17927,0.00%,0.00%,0.0,No líquida,2022-05-25
Banco de Guayaquil S.A.,1.0,1.02,6.25,0.77,377573400,8.63%,23.79%,0.003722,Líquida,2022-05-25
Banco del Pichincha C.A.,100.0,76.0,4.61,0.47,551496964,5.44%,15.20%,0.197774,Líquida,2022-05-25
Banco Solidario S.A.,1.0,0.26,5.24,0.59,78663670,9.55%,0.40%,0.001162,No líquida,2022-05-25
Corp. Desarrollo Mercado Secundario Hipotecas (CTH),1.0,2.8968,7.79,1.22,9439335,11.60%,0.40%,0.003228,No líquida,2022-05-25
Produbanco S.A,1.0,0.71,3.62,0.51,215733500,7.45%,2.00%,0.000357,No líquida,2022-05-25
Inversancarlos S.A.,1.0,1.28,7.29,1.05,70400000,14.20%,13.60%,0.07556,No líquida,2022-05-25
Meriza S.A.,1.0,40.0,(25.71),0.84,3200000,0.00%,0.40%,0.0125,Líquida,2022-06-01
Rio Congo Forestal C.A.,1.0,40.0,(34.85),0.83,3600000,0.22%,2.40%,0.058444,No líquida,2022-06-01
El Tecal C.A. ELTECA,1.0,35.0,(21.45),0.76,3150000,0.00%,1.20%,0.055,No líquida,2022-06-01
La Reserva Forestal (Reforest S.A.),1.0,32.73,(27.68),0.8,2945700,0.00%,1.20%,0.545,No líquida,2022-06-01
Cerro Verde Forestal (Bigforest S.A.),1.0,31.91,(76.86),0.81,3191000,0.58%,2.40%,0.083,No líquida,2022-06-01
La Campiña Forestal (Strongforest S.A.),1.0,31.5,(28.98),0.86,3150000,0.00%,3.60%,0.064,Líquida,2022-06-01
El Refugio Forestal (Homeforest S.A.),1.0,25.68,(28.19),0.78,3210000,0.00%,2.40%,0.0582,No líquida,2022-06-01
El Sendero Forestal (Pathforest),1.0,22.05,(31.97),0.86,2976750,0.00%,1.61%,0.053793,No líquida,2022-06-01
La Estancia Forestal (Forestead),1.0,21.5,(49.13),0.96,3225000,0.00%,0.40%,0.0447,No líquida,2022-06-01
La Colina Forestal (Hillforest),1.0,18.0,(35.77),0.89,3600000,0.00%,0.81%,0.034665,No líquida,2022-06-01
La Sabana Forestal (Plainforest),1.0,16.18,0.00,0.9,3883200,0.00%,1.21%,0.00125,No líquida,2022-06-01
Cerro Alto Forestal (Highforest),1.0,15.4,0.00,0.0,2025000,0.00%,0.81%,0.003422,No líquida,2022-06-01
La Cumbre Forestal (Peakforest),1.0,14.0,0.00,0.0,4725000,0.00%,2.02%,0.086667,No líquida,2022-06-01
La Vanguardia Forestal (Vanguarforest),1.0,2.3,0.00,0.0,4085000,0.00%,2.02%,0.059047,No líquida,2022-06-01
Rio Grande Forestal (Riverforest),1.0,2.62,0.00,0.0,6110000,0.00%,55.65%,0.422678,No líquida,2022-06-01
La Ensenada Forestal (Coveforest),1.0,2.6,0.00,0.0,6500000,0.00%,3.63%,0.05459,Líquida,2022-06-01
Compañía de Cervezas Nacionales S.A.,1.0,60.0,10.76,6.34,1229400000,9.31%,6.80%,0.000306,No líquida,2022-06-01
Continental Tire Andina S.A.,1.0,0.7,14.18,0.58,52426416,3.47%,0.00%,0.0,Líquida,2022-06-01
Cristalería del Ecuador S.A. Cridesa,1.0,3.5,7.27,1.45,73445484,13.65%,0.40%,0.00021,Líquida,2022-06-01
Industrias Ales C.A.,1.0,0.5,38.84,0.28,19800000,0.70%,0.40%,0.000586,No líquida,2022-06-01
Holcim Ecuador S.A.,3.0,50.0,9.98,2.62,1024044200,3.00%,7.60%,0.031535,Líquida,2022-06-01
Sociedad Agrícola e Industrial San Carlos S.A.,1.0,0.55,1.14,0.33,75900000,0.00%,20.00%,0.035109,Líquida,2022-06-01
Surpapelcorp S.A.,1.0,4.25,0.00,4.45,109127250,0.00%,4.00%,0.132904,No líquida,2022-06-01
Alicosta BK Holding S.A.,1.0,10.0,0.00,1.51,2350000,0.00%,20.40%,0.332443,Líquida,2022-06-01
Cepsa S.A,1.0,1.0,6.13,0.02,343324,16.32%,0.00%,0.0,No líquida,2022-06-01
Hotel Colón Internacional C.A.,1.0,0.6,26.55,0.4,14706000,6.67%,1.60%,0.000222,No líquida,2022-06-01
Corporación Favorita C.A.,1.0,2.19,12.07,1.44,1861500000,3.12%,47.20%,0.013197,Líquida,2022-06-01
Banco Amazonas S.A.,1.0,1.0,0.00,0.47,10470723,0.00%,0.00%,0.0,No líquida,2022-06-01
Banco Bolivariano S.A.,1.0,0.9,5.09,0.67,205200000,5.85%,7.20%,0.014639,No líquida,2022-06-01
Banco Cofiec S.A.,0.004,0.0028,0.06,0.0,17927,0.00%,0.00%,0.0,No líquida,2022-06-01
Banco de Guayaquil S.A.,1.0,1.03,6.32,0.78,381275100,8.55%,23.79%,0.003722,Líquida,2022-06-01
Banco del Pichincha C.A.,100.0,76.0,4.61,0.47,551496964,5.44%,15.20%,0.197774,Líquida,2022-06-01
Banco Solidario S.A.,1.0,0.26,5.24,0.59,78663670,9.55%,0.40%,0.001162,No líquida,2022-06-01
Corp. Desarrollo Mercado Secundario Hipotecas (CTH),1.0,2.8968,7.79,1.22,9439335,11.60%,0.40%,0.003228,No líquida,2022-06-01
Produbanco S.A,1.0,0.71,3.62,0.51,215733500,7.45%,2.00%,0.000357,No líquida,2022-06-01
Inversancarlos S.A.,1.0,1.65,9.39,1.36,90750000,11.02%,13.60%,0.07556,No líquida,2022-06-01
Meriza S.A.,1.0,40.0,(25.71),0.84,3200000,0.00%,0.40%,0.0125,Líquida,2022-06-08
Rio Congo Forestal C.A.,1.0,40.0,(34.85),0.83,3600000,0.22%,2.40%,0.058444,No líquida,2022-06-08
El Tecal C.A. ELTECA,1.0,35.0,(21.45),0.76,3150000,0.00%,1.20%,0.055,No líquida,2022-06-08
La Reserva Forestal (Reforest S.A.),1.0,32.73,(27.68),0.8,2945700,0.00%,1.20%,0.545,No líquida,2022-06-08
Cerro Verde Forestal (Bigforest S.A.),1.0,31.91,(76.86),0.81,3191000,0.58%,2.40%,0.083,No líquida,2022-06-08
La Campiña Forestal (Strongforest S.A.),1.0,31.5,(28.98),0.86,3150000,0.00%,3.60%,0.064,Líquida,2022-06-08
El Refugio Forestal (Homeforest S.A.),1.0,25.68,(28.19),0.78,3210000,0.00%,2.40%,0.0582,No líquida,2022-06-08
El Sendero Forestal (Pathforest),1.0,22.05,(31.97),0.86,2976750,0.00%,1.61%,0.053793,No líquida,2022-06-08
La Estancia Forestal (Forestead),1.0,21.5,(49.13),0.96,3225000,0.00%,0.40%,0.0447,No líquida,2022-06-08
La Colina Forestal (Hillforest),1.0,18.0,(35.77),0.89,3600000,0.00%,0.81%,0.034665,No líquida,2022-06-08
La Sabana Forestal (Plainforest),1.0,16.18,0.00,0.9,3883200,0.00%,1.21%,0.00125,No líquida,2022-06-08
Cerro Alto Forestal (Highforest),1.0,15.4,0.00,0.0,2025000,0.00%,0.81%,0.003422,No líquida,2022-06-08
La Cumbre Forestal (Peakforest),1.0,14.0,0.00,0.0,4725000,0.00%,2.02%,0.086667,No líquida,2022-06-08
La Vanguardia Forestal (Vanguarforest),1.0,2.3,0.00,0.0,4085000,0.00%,2.02%,0.059047,No líquida,2022-06-08
Rio Grande Forestal (Riverforest),1.0,2.62,0.00,0.0,6110000,0.00%,55.65%,0.422678,No líquida,2022-06-08
La Ensenada Forestal (Coveforest),1.0,2.6,0.00,0.0,6500000,0.00%,3.63%,0.05459,Líquida,2022-06-08
Compañía de Cervezas Nacionales S.A.,1.0,60.0,10.76,6.34,1229400000,9.31%,6.80%,0.000306,No líquida,2022-06-08
Continental Tire Andina S.A.,1.0,0.7,14.18,0.58,52426416,3.47%,0.00%,0.0,Líquida,2022-06-08
Cristalería del Ecuador S.A. Cridesa,1.0,3.5,7.27,1.45,73445484,13.65%,0.40%,0.00021,Líquida,2022-06-08
Industrias Ales C.A.,1.0,0.5,38.84,0.28,19800000,0.70%,0.40%,0.000586,No líquida,2022-06-08
Holcim Ecuador S.A.,3.0,50.0,9.98,2.62,1024044200,3.00%,7.60%,0.031535,Líquida,2022-06-08
Sociedad Agrícola e Industrial San Carlos S.A.,1.0,0.55,1.14,0.33,75900000,0.00%,20.00%,0.035109,Líquida,2022-06-08
Surpapelcorp S.A.,1.0,4.25,0.00,4.45,109127250,0.00%,4.00%,0.132904,No líquida,2022-06-08
Alicosta BK Holding S.A.,1.0,10.0,0.00,1.51,2350000,0.00%,20.40%,0.332443,Líquida,2022-06-08
Cepsa S.A,1.0,1.0,6.13,0.02,343324,16.32%,0.00%,0.0,No líquida,2022-06-08
Hotel Colón Internacional C.A.,1.0,0.6,26.55,0.4,14706000,6.67%,1.60%,0.000222,No líquida,2022-06-08
Corporación Favorita C.A.,1.0,2.2,12.12,1.45,1870000000,3.10%,47.20%,0.013197,Líquida,2022-06-08
Banco Amazonas S.A.,1.0,1.0,0.00,0.47,10470723,0.00%,0.00%,0.0,No líquida,2022-06-08
Banco Bolivariano S.A.,1.0,0.9,5.09,0.67,205200000,5.85%,7.20%,0.014639,No líquida,2022-06-08
Banco Cofiec S.A.,0.004,0.0028,0.06,0.0,17927,0.00%,0.00%,0.0,No líquida,2022-06-08
Banco de Guayaquil S.A.,1.0,1.04,6.38,0.78,384976800,8.47%,23.79%,0.003722,Líquida,2022-06-08
Banco del Pichincha C.A.,100.0,76.0,4.61,0.47,551496964,5.44%,15.20%,0.197774,Líquida,2022-06-08
Banco Solidario S.A.,1.0,0.26,5.24,0.59,78663670,9.55%,0.40%,0.001162,No líquida,2022-06-08
Corp. Desarrollo Mercado Secundario Hipotecas (CTH),1.0,2.8968,7.79,1.22,9439335,11.60%,0.40%,0.003228,No líquida,2022-06-08
Produbanco S.A,1.0,0.71,3.62,0.51,215733500,7.45%,2.00%,0.000357,No líquida,2022-06-08
Inversancarlos S.A.,1.0,1.65,9.39,1.36,90750000,11.02%,13.60%,0.07556,No líquida,2022-06-08
Meriza S.A.,1.0000,40.0000,(25.71),0.84,3200000,0.00%,0.40%,0.012500,Líquida,2022-06-15
Rio Congo Forestal C.A.,1.0000,40.0000,(34.85),0.83,3600000,0.22%,2.40%,0.058444,No líquida,2022-06-15
El Tecal C.A. ELTECA,1.0000,35.0000,(21.45),0.76,3150000,0.00%,1.20%,0.055000,No líquida,2022-06-15
La Reserva Forestal (Reforest S.A.),1.0000,32.7300,(27.68),0.80,2945700,0.00%,1.20%,0.545000,No líquida,2022-06-15
Cerro Verde Forestal (Bigforest S.A.),1.0000,31.9100,(76.86),0.81,3191000,0.58%,2.40%,0.083000,No líquida,2022-06-15
La Campiña Forestal (Strongforest S.A.),1.0000,31.5000,(28.98),0.86,3150000,0.00%,3.60%,0.064000,Líquida,2022-06-15
El Refugio Forestal (Homeforest S.A.),1.0000,25.6800,(28.19),0.78,3210000,0.00%,2.40%,0.058200,No líquida,2022-06-15
El Sendero Forestal (Pathforest),1.0000,22.0500,(31.97),0.86,2976750,0.00%,1.61%,0.053793,No líquida,2022-06-15
La Estancia Forestal (Forestead),1.0000,21.5000,(49.13),0.96,3225000,0.00%,0.40%,0.044700,No líquida,2022-06-15
La Colina Forestal (Hillforest),1.0000,18.0000,(35.77),0.89,3600000,0.00%,0.81%,0.034665,No líquida,2022-06-15
La Sabana Forestal (Plainforest),1.0000,16.1800,0.00,0.90,3883200,0.00%,1.21%,0.001250,No líquida,2022-06-15
Cerro Alto Forestal (Highforest),1.0000,15.4000,0.00,0.00,2025000,0.00%,0.81%,0.003422,No líquida,2022-06-15
La Cumbre Forestal (Peakforest),1.0000,14.0000,0.00,0.00,4725000,0.00%,2.02%,0.086667,No líquida,2022-06-15
La Vanguardia Forestal (Vanguarforest),1.0000,2.3000,0.00,0.00,4085000,0.00%,2.02%,0.059047,No líquida,2022-06-15
Rio Grande Forestal (Riverforest),1.0000,2.6200,0.00,0.00,6110000,0.00%,55.65%,0.422678,No líquida,2022-06-15
La Ensenada Forestal (Coveforest),1.0000,2.6000,0.00,0.00,6500000,0.00%,3.63%,0.054590,Líquida,2022-06-15
Compañía de Cervezas Nacionales S.A.,1.0000,60.0000,10.76,6.34,1229400000,9.31%,6.80%,0.000306,No líquida,2022-06-15
Continental Tire Andina S.A.,1.0000,0.7000,14.18,0.58,52426416,3.47%,0.00%,0.000000,Líquida,2022-06-15
Cristalería del Ecuador S.A. Cridesa,1.0000,3.5000,7.27,1.45,73445484,13.65%,0.40%,0.000210,Líquida,2022-06-15
Industrias Ales C.A.,1.0000,0.5000,38.84,0.28,19800000,0.70%,0.40%,0.000586,No líquida,2022-06-15
Holcim Ecuador S.A.,3.0000,50.0000,9.98,2.62,1024044200,3.00%,7.60%,0.031535,Líquida,2022-06-15
Sociedad Agrícola e Industrial San Carlos S.A.,1.0000,0.5500,1.14,0.33,75900000,0.00%,20.00%,0.035109,Líquida,2022-06-15
Surpapelcorp S.A.,1.0000,4.2500,0.00,4.45,109127250,0.00%,4.00%,0.132904,No líquida,2022-06-15
Alicosta BK Holding S.A.,1.0000,10.0000,0.00,1.51,2350000,0.00%,20.40%,0.332443,Líquida,2022-06-15
Cepsa S.A,1.0000,1.0000,6.13,0.02,343324,16.32%,0.00%,0.000000,No líquida,2022-06-15
Hotel Colón Internacional C.A.,1.0000,0.6000,26.55,0.40,14706000,6.67%,1.60%,0.000222,No líquida,2022-06-15
Corporación Favorita C.A.,1.0000,2.1800,12.01,1.43,1853000000,3.13%,47.20%,0.013197,Líquida,2022-06-15
Banco Amazonas S.A.,1.0000,1.0000,0.00,0.47,10470723,0.00%,0.00%,0.000000,No líquida,2022-06-15
Banco Bolivariano S.A.,1.0000,0.9000,5.09,0.67,205200000,5.85%,7.20%,0.014639,No líquida,2022-06-15
Banco Cofiec S.A.,0.0040,0.0028,0.06,0.00,17927,0.00%,0.00%,0.000000,No líquida,2022-06-15
Banco de Guayaquil S.A.,1.0000,1.0400,6.38,0.78,384976800,8.47%,23.79%,0.003722,Líquida,2022-06-15
Banco del Pichincha C.A.,100.0000,76.0000,4.61,0.47,551496964,5.44%,15.20%,0.197774,Líquida,2022-06-15
Banco Solidario S.A.,1.0000,0.2600,5.24,0.59,78663670,9.55%,0.40%,0.001162,No líquida,2022-06-15
Corp. Desarrollo Mercado Secundario Hipotecas (CTH),1.0000,2.8968,7.79,1.22,9439335,11.60%,0.40%,0.003228,No líquida,2022-06-15
Produbanco S.A,1.0000,0.7100,3.62,0.51,215733500,7.45%,2.00%,0.000357,No líquida,2022-06-15
Inversancarlos S.A.,1.0000,1.6500,9.39,1.36,90750000,11.02%,13.60%,0.075560,No líquida,2022-06-15
